shopid,username_toko,lokasi_toko,itemid,produk,stok,terjual,histori_terjual,brand,jml_like,harga,harga_min,harga_max,harga_min_sebelum_disc,harga_max_sebelum_disc,diskon,url_produk
127419766,pigura_kupayu,KOTA SURAKARTA (SOLO),10283486492,Tas Plastik Ulang Tahun / Label Ultah Murah (label+plastik+tali pengait) tinggal isi snack,36942,1230,3735,,38,975.0,975.0,975.0,0,0,,https://shopee.co.id/Tas-Plastik-Ulang-Tahun---Label-Ultah-Murah-(label+plastik+tali-pengait)-tinggal-isi-snack-i.127419766.10283486492
15125859,fadhilsouvenir,KAB. KUDUS,2707430451,Tas Ultah Ransel Punggung Gemblok Desain Lol Bisa Custom Gratis Desain,86296,1228,23240,Tidak Ada Merek,1194,5225.0,5225.0,5225.0,5500.0,5500.0,5%,https://shopee.co.id/Tas-Ultah-Ransel-Punggung-Gemblok-Desain-Lol-Bisa-Custom-Gratis-Desain-i.15125859.2707430451
171361991,ganjhon,KAB. KUDUS,6473416707,TAS ULTAH MURAH \ F20.25,4318062,1353,2460,Tidak Ada Merek,20,2350.0,2350.0,3300.0,4700.0,6600.0,50%,https://shopee.co.id/TAS-ULTAH-MURAH-\-F20.25-i.171361991.6473416707
299285758,claire_hampers,KAB. KUDUS,5552376568,Tas mika transparan / Dompet / Pouch kualitas primium,119966,1116,4233,,552,2500.0,2500.0,3200.0,0,0,,https://shopee.co.id/Tas-mika-transparan---Dompet---Pouch-kualitas-primium-i.299285758.5552376568
88586544,ranaceria,KAB. KUDUS,1507043821,Tas Ulang Tahun Anak / Tas Souvenir Ultah Custom,5346,1226,15053,Tidak Ada Merek,1129,3800.0,3800.0,3800.0,4200.0,4200.0,10%,https://shopee.co.id/Tas-Ulang-Tahun-Anak---Tas-Souvenir-Ultah-Custom-i.88586544.1507043821
784498712,zumbag,KAB. BATANG,21918175396,TAS RANSEL TRAVEL BACKPACK WANITA LIPAT HITAM IMPORT POPULAR - PLAY KING 18 L,98,1226,1226,,1,105000.0,105000.0,105000.0,0,0,,https://shopee.co.id/TAS-RANSEL-TRAVEL-BACKPACK-WANITA-LIPAT-HITAM-IMPORT-POPULAR---PLAY-KING-18-L-i.784498712.21918175396
10647031,dewogundul,KAB. KUDUS,8937831766,COD Tas Ultah Murah / Tas Ultah / Tas Aqiqah / Tas khitan / Tas Souvenir,95009,1172,12284,,165,2650.0,2650.0,2650.0,2899.0,2899.0,9%,https://shopee.co.id/COD-Tas-Ultah-Murah---Tas-Ultah---Tas-Aqiqah---Tas-khitan---Tas-Souvenir-i.10647031.8937831766
329291117,tokokurmamurah1234,KAB. KUDUS,20512999739,dus paket oleh2 haji dan umroh per 1 pcs,998676,1218,1299,,5,1600.0,1600.0,1600.0,0,0,,https://shopee.co.id/dus-paket-oleh2-haji-dan-umroh-per-1-pcs-i.329291117.20512999739
21729598,souvenirsemesta,KAB. KUDUS,9577769610,GOODIE BAG POTRAIT FROZEN / TAS ULTAH READY STOK MURAH / TAS ULANG TAHUN,16839,1215,9377,,182,2350.0,2350.0,2350.0,0,0,,https://shopee.co.id/GOODIE-BAG-POTRAIT-FROZEN---TAS-ULTAH-READY-STOK-MURAH---TAS-ULANG-TAHUN-i.21729598.9577769610
513475635,chanaawedding.store,KAB. JEPARA,11330121676,"Tas Aqiqah, Khitan, Ulang Tahun, Kehamilan Spunbond 75 Gsm (Tebal)",9985462,1214,14232,,89,3300.0,3300.0,3300.0,5000.0,5000.0,34%,"https://shopee.co.id/Tas-Aqiqah,-Khitan,-Ulang-Tahun,-Kehamilan-Spunbond-75-Gsm-(Tebal)-i.513475635.11330121676"
1798060,nevset,KOTA SEMARANG,2608654813,Bayar di Tempat COD Tas Ransel Serut Bahan Kanvas KANTONG Depan Ukuran Medium tas punggung wanita,538,1205,13023,Tidak Ada Merek,24972,37000.0,37000.0,37000.0,37000.0,37000.0,,https://shopee.co.id/Bayar-di-Tempat-COD-Tas-Ransel-Serut-Bahan-Kanvas-KANTONG-Depan-Ukuran-Medium-tas-punggung-wanita-i.1798060.2608654813
4800528,oemistore,KAB. KUDUS,40667664,Paket sablon tas plastik ukuran mini,51100,1200,61325,,422,550.0,550.0,800.0,0,0,,https://shopee.co.id/Paket-sablon-tas-plastik-ukuran-mini-i.4800528.40667664
88498852,store_14,KAB. MAGELANG,1640925250,"Paperbag Size 11x4,5x15cm",22194,1200,11384,,63,800.0,800.0,800.0,0,0,,"https://shopee.co.id/Paperbag-Size-11x4,5x15cm-i.88498852.1640925250"
28061487,elzamshop26,KAB. MAGELANG,1437303655,Paperbag custom,995903,1200,7940,Tidak Ada Merek,783,650.0,650.0,650.0,0,0,,https://shopee.co.id/Paperbag-custom-i.28061487.1437303655
79581273,niamsouvenir,KAB. MAGELANG,2354895000,paket souvenir telenan besar +pisau+paperbag pernikahan ultah khitanan wedding aqiqah,1587,1200,16063,,207,4500.0,4500.0,4500.0,0,0,,https://shopee.co.id/paket-souvenir-telenan-besar-+pisau+paperbag-pernikahan-ultah-khitanan-wedding-aqiqah-i.79581273.2354895000
111283668,sablonplastik_purwokerto,KAB. BANYUMAS,14321182447,Sablon Plastik Kresek Tas Olshop FREE DESIGN Plong HD Ukuran 15 x 22 cm Plastik Olshop Plastik Packing Plastik Sembako Plastik Obat Kantong Kresek Sablon Custom Kantong Kresek Cetak Plastik Tas Sablon,398074,1200,1926,,9,310.0,310.0,485.0,0,0,,https://shopee.co.id/Sablon-Plastik-Kresek-Tas-Olshop-FREE-DESIGN-Plong-HD-Ukuran-15-x-22-cm-Plastik-Olshop-Plastik-Packing-Plastik-Sembako-Plastik-Obat-Kantong-Kresek-Sablon-Custom-Kantong-Kresek-Cetak-Plastik-Tas-Sablon-i.111283668.14321182447
801155911,tpa_plastik,KOTA SEMARANG,20814508826,Botol Plastik 10ml Tutup Merah,98600,1200,1200,,5,351.0,351.0,351.0,370.0,370.0,5%,https://shopee.co.id/Botol-Plastik-10ml-Tutup-Merah-i.801155911.20814508826
314929681,grosir_mart24,KAB. SEMARANG,17812919687,Pouch Organizer Travel Tas Serut Serbaguna Free Gift,1050,1198,5735,,69,790.0,790.0,1190.0,0,0,,https://shopee.co.id/Pouch-Organizer-Travel-Tas-Serut-Serbaguna-Free-Gift-i.314929681.17812919687
88586544,ranaceria,KAB. KUDUS,1699231390,Tas Ultah Anak / Tas Souvenir Ulang Tahun Custom,1948,1195,62463,Tidak Ada Merek,5247,3800.0,3800.0,3800.0,4200.0,4200.0,10%,https://shopee.co.id/Tas-Ultah-Anak---Tas-Souvenir-Ulang-Tahun-Custom-i.88586544.1699231390
230234205,official.dompetbatik,KAB. KLATEN,19308320168,PROMO!!GRATIS MASKER!!! Souvenir dompet lipat batik khas Jogja,49998447,1195,1357,,53,951.0,951.0,1613.0,980.0,1680.0,4%,https://shopee.co.id/PROMO!!GRATIS-MASKER!!!-Souvenir-dompet-lipat-batik-khas-Jogja-i.230234205.19308320168
79425712,22souvenir,KAB. JEPARA,4547413157,Totebag Blacu Souvenir Pernikahan Tas Blacu,143501,1191,14989,Tidak Ada Merek,185,3822.0,3822.0,5880.0,3900.0,6000.0,2%,https://shopee.co.id/Totebag-Blacu-Souvenir-Pernikahan-Tas-Blacu-i.79425712.4547413157
27142758,levaniapaper,KAB. MAGELANG,2044304942,Paperbag Size 11.5 X 6 X 17.5cm - Paper Bag - Tas Kertas/ PAPER BAG / TAS COKLAT / TAS KRAFT / PAPERBAG CUSTOM / Paperbag Olshop,90848,1092,19003,Tidak Ada Merek,118,900.0,900.0,900.0,0,0,,https://shopee.co.id/Paperbag-Size-11.5-X-6-X-17.5cm---Paper-Bag---Tas-Kertas--PAPER-BAG---TAS-COKLAT---TAS-KRAFT---PAPERBAG-CUSTOM---Paperbag-Olshop-i.27142758.2044304942
215456823,kaloosh.,KAB. KUDUS,9077909596,Tas Ultah ukuran kotak KFC Landscape/ Tas Ulang Tahun / Goodie Bag BISA BELI SATUAN READY STOCK,6599354,1186,2158,,3,2350.0,2350.0,2350.0,0,0,,https://shopee.co.id/Tas-Ultah-ukuran-kotak-KFC-Landscape--Tas-Ulang-Tahun---Goodie-Bag-BISA-BELI-SATUAN-READY-STOCK-i.215456823.9077909596
193759240,tas_ultah,KAB. KUDUS,15249357527,Paperbag Custom Terlaris  Uk 16 X 5 X 21,37783,1186,2087,,45,693.0,693.0,990.0,699.0,999.0,1%,https://shopee.co.id/Paperbag-Custom-Terlaris--Uk-16-X-5-X-21-i.193759240.15249357527
79425712,22souvenir,KAB. JEPARA,1475288921,Tas Hantaran Tas Aqiqah Tas Tasyakuran Tas Souvenir Tas Selamatan,53998,1185,6104,Tidak Ada Merek,101,2800.0,2800.0,3799.0,0,0,,https://shopee.co.id/Tas-Hantaran-Tas-Aqiqah-Tas-Tasyakuran-Tas-Souvenir-Tas-Selamatan-i.79425712.1475288921
75103213,muria_store18,KAB. KUDUS,7403176174,Tas Ultah Landscape  Custom - Bahan Tebal 75gsm Kualitas Bagus,46108,1042,56806,Tidak Ada Merek,1077,2555.0,2555.0,2555.0,0,0,,https://shopee.co.id/Tas-Ultah-Landscape--Custom---Bahan-Tebal-75gsm-Kualitas-Bagus-i.75103213.7403176174
21729598,souvenirsemesta,KAB. KUDUS,2827236999,Tas Ultah / Tas Ulang tahun Anak / Goodie Bag Unicorn,16083,1180,19728,Tidak Ada Merek,654,2350.0,2350.0,2350.0,0,0,,https://shopee.co.id/Tas-Ultah---Tas-Ulang-tahun-Anak---Goodie-Bag-Unicorn-i.21729598.2827236999
277590769,omahtassouvenir,KAB. KUDUS,7697785235,Tas mika transparan Tebal size M/ Tas mika Hampers /Tas mika souvenir/ Tas mika ultah,1607,1178,15727,,1083,4100.0,4100.0,4100.0,0,0,,https://shopee.co.id/Tas-mika-transparan-Tebal-size-M--Tas-mika-Hampers--Tas-mika-souvenir--Tas-mika-ultah-i.277590769.7697785235
74873260,starsouvenir,KAB. JEPARA,3373607745,Tas Hajatan Tas Berkat Tas Haul Tas Bingkisan Tas Tasyakuran Pernikahan Tas Hantaran Tas Syukuran Tas Wedding,53981,1156,55834,,822,2825.0,2825.0,3495.0,3000.0,3800.0,9%,https://shopee.co.id/Tas-Hajatan-Tas-Berkat-Tas-Haul-Tas-Bingkisan-Tas-Tasyakuran-Pernikahan-Tas-Hantaran-Tas-Syukuran-Tas-Wedding-i.74873260.3373607745
586663932,souvenir.sy,KAB. KLATEN,13262524906,SOUVERNIR DOMPET BATIK SOUVENIR DOMPET LIPAT BATIK SOUVENIR MURAH SOUVENIR DOMPET MODERN MASA KINI TERMURAH TERBARU SOUVENIR MURAH SOUVENIR TERJANGKAU,398775,1175,1607,,40,2000.0,2000.0,2400.0,0,0,,https://shopee.co.id/SOUVERNIR-DOMPET-BATIK-SOUVENIR-DOMPET-LIPAT-BATIK-SOUVENIR-MURAH-SOUVENIR-DOMPET-MODERN-MASA-KINI-TERMURAH-TERBARU-SOUVENIR-MURAH-SOUVENIR-TERJANGKAU-i.586663932.13262524906
183242516,aufazilah,KAB. KLATEN,21108527559,Dompet Batik Pelok Ukuran 11 × 7 cm | Souvenir Dompet/ Pouch Batik Murah | Kemas Lengkap min. Order 50 pcs,32771,1170,1170,,2,950.0,950.0,1380.0,0,0,,https://shopee.co.id/Dompet-Batik-Pelok-Ukuran-11-×-7-cm--Souvenir-Dompet--Pouch-Batik-Murah--Kemas-Lengkap-min.-Order-50-pcs-i.183242516.21108527559
4800528,oemistore,KAB. KUDUS,2114049391,paperbag tas kertas extra jumbo,8180,1166,15602,Tidak Ada Merek,257,1700.0,1700.0,1700.0,0,0,,https://shopee.co.id/paperbag-tas-kertas-extra-jumbo-i.4800528.2114049391
53898675,taskertas,KAB. KUDUS,2141731531,Paperbag Kraft Putih dan Kraft Coklat Polos Ukuran Besar Ready Stock,9028,1068,13962,,461,1850.0,1850.0,1900.0,0,0,,https://shopee.co.id/Paperbag-Kraft-Putih-dan-Kraft-Coklat-Polos-Ukuran-Besar-Ready-Stock-i.53898675.2141731531
4800528,oemistore,KAB. KUDUS,16544838,Paperbag polos kecil coklat Small,28057,1062,138737,Tidak Ada Merek,4356,600.0,600.0,600.0,0,0,,https://shopee.co.id/Paperbag-polos-kecil-coklat-Small-i.4800528.16544838
171361991,ganjhon,KAB. KUDUS,9607002401,tas souvenir Goodie Bag perlengkapan pesta ulang tahun Ultah anak BISA BELI SATUAN DAN CUSTOM,4312140,1160,119678,Tidak Ada Merek,2038,2350.0,2350.0,3300.0,4700.0,6600.0,50%,https://shopee.co.id/tas-souvenir-Goodie-Bag-perlengkapan-pesta-ulang-tahun-Ultah-anak-BISA-BELI-SATUAN-DAN-CUSTOM-i.171361991.9607002401
151498087,granada_mall,KAB. KUDUS,3183187222,Tas Ultah Mika Custom Besar Uk 22 x 14 x 24,112610,993,7428,,296,3398.0,3398.0,3398.0,0,0,,https://shopee.co.id/Tas-Ultah-Mika-Custom-Besar-Uk-22-x-14-x-24-i.151498087.3183187222
20170947,rizasouvenir,KAB. KUDUS,1431271349,Tas blacu 30x40,1875,1158,47298,Tidak Ada Merek,3023,5000.0,5000.0,5000.0,0,0,,https://shopee.co.id/Tas-blacu-30x40-i.20170947.1431271349
