shopid,username_toko,lokasi_toko,itemid,produk,stok,terjual,histori_terjual,brand,jml_like,harga,harga_min,harga_max,harga_min_sebelum_disc,harga_max_sebelum_disc,diskon,url_produk
113703704,hk_fashion7,KAB. PEKALONGAN,21601824289,TAS FUTSAL / TAS SEPATU OLAHRAGA ORTUS,4479,11,18,,6,20460.0,20460.0,33480.0,21999.0,35999.0,7%,https://shopee.co.id/TAS-FUTSAL---TAS-SEPATU-OLAHRAGA-ORTUS-i.113703704.21601824289
404059838,azkastore354,KOTA SURAKARTA (SOLO),14018343976,Sepatu futsal Ortuseight Jogosala Nutmeg Original,37,10,27,,33,232000.0,232000.0,381650.0,232000.0,449000.0,15%,https://shopee.co.id/Sepatu-futsal-Ortuseight-Jogosala-Nutmeg-Original-i.404059838.14018343976
219002376,j0kamsolo,KAB. BOYOLALI,21315548690,Gada Sport - Sepatu Futsal Adidas Predator Hitam Pink,396,11,12,,20,131350.0,131350.0,131350.0,355000.0,355000.0,63%,https://shopee.co.id/Gada-Sport---Sepatu-Futsal-Adidas-Predator-Hitam-Pink-i.219002376.21315548690
140799524,pointsport,KOTA SURAKARTA (SOLO),17623099792,SEPATU FUTSAL ORTUSEIGHT JOGOSALA CRUSHER BBS 3.0 ORIGINAL TERBARU,33,10,36,,50,379000.0,379000.0,649000.0,0,0,,https://shopee.co.id/SEPATU-FUTSAL-ORTUSEIGHT-JOGOSALA-CRUSHER-BBS-3.0-ORIGINAL-TERBARU-i.140799524.17623099792
478222754,tokoarifsolo,KOTA SURAKARTA (SOLO),14550385920,SALE OBRAL SEPATU FUTSAL ANAK ORTUSEIGHT SABRE IN JR 100% ORIGINAL TOPSCORE ARIFSPORT SOLO ARIFSPORTS,9,10,27,,30,155400.0,155400.0,155400.0,259000.0,259000.0,40%,https://shopee.co.id/SALE-OBRAL-SEPATU-FUTSAL-ANAK-ORTUSEIGHT-SABRE-IN-JR-100%-ORIGINAL-TOPSCORE-ARIFSPORT-SOLO-ARIFSPORTS-i.478222754.14550385920
478222754,tokoarifsolo,KOTA SURAKARTA (SOLO),12480358858,Ortuseight Jogosala Storm Breaker Sepatu Futsal 100% Original Bnib // Bisa COD,10,11,21,,9,321000.0,321000.0,321000.0,379000.0,379000.0,15%,https://shopee.co.id/Ortuseight-Jogosala-Storm-Breaker-Sepatu-Futsal-100%-Original-Bnib----Bisa-COD-i.478222754.12480358858
478222754,tokoarifsolo,KOTA SURAKARTA (SOLO),11186440058,NEW ARRIVAL SPECS SEPATU FUTSAL METASALA MAVERICK ARIFSPORT//BISA COD,12,11,13,,4,358000.0,358000.0,358000.0,0,0,,https://shopee.co.id/NEW-ARRIVAL-SPECS-SEPATU-FUTSAL-METASALA-MAVERICK-ARIFSPORT--BISA-COD-i.478222754.11186440058
35369688,basecamp_sepatu,KOTA SURAKARTA (SOLO),615559073,Sepatu Futsal Anak TK dan SD 28-29-30-32-32-33-34-35-36-37,4915,10,632,,137,62622.0,62622.0,155820.0,63900.0,159000.0,2%,https://shopee.co.id/Sepatu-Futsal-Anak-TK-dan-SD-28-29-30-32-32-33-34-35-36-37-i.35369688.615559073
71165866,speed.id,KOTA SEMARANG,4341053001,SPEED - Futsala United 02 Hijau Tua - Sepatu Futsal - futsal 34 -37,226,10,285,Speed,361,89900.0,89900.0,89900.0,159900.0,159900.0,44%,https://shopee.co.id/SPEED---Futsala-United-02-Hijau-Tua---Sepatu-Futsal---futsal-34--37-i.71165866.4341053001
382068375,darrellsport,KOTA SURAKARTA (SOLO),9714235714,[PROMO TERBATAS] Sepatu Futsal Murah Berkwalitas Langsung Dari Produsen ( 1kg =2paket),239,10,1281,,190,59900.0,59900.0,61900.0,0,0,,https://shopee.co.id/[PROMO-TERBATAS]-Sepatu-Futsal-Murah-Berkwalitas-Langsung-Dari-Produsen-(-1kg-=2paket)-i.382068375.9714235714
29334507,rinarohmswati,KAB. BOYOLALI,1827668070,"Paket komplit Jersey sepatu futsal Nike Tempo, hyoervenom, mercurial,cod,terlaris,termurah",14804,8,882,Tidak Ada Merek,329,75000.0,75000.0,123750.0,100000.0,165000.0,25%,"https://shopee.co.id/Paket-komplit-Jersey-sepatu-futsal-Nike-Tempo,-hyoervenom,-mercurial,cod,terlaris,termurah-i.29334507.1827668070"
37150944,sportysport1,KOTA SURAKARTA (SOLO),978763418,"Sepatu Futsal Specs Spyder, Infinity, Lightseed, Catalyst, GARUDA, INFINITY ACCELERATOR GRADE ORI",2451,10,741,Specs,248,69000.0,69000.0,69000.0,99000.0,99000.0,30%,"https://shopee.co.id/Sepatu-Futsal-Specs-Spyder,-Infinity,-Lightseed,-Catalyst,-GARUDA,-INFINITY-ACCELERATOR-GRADE-ORI-i.37150944.978763418"
11152609,atarashiishop,KAB. BOYOLALI,995115389,(Paket komplit) sepatu futsal spyder terbaru.sepatu specs.paket sepatu futsal.swervo light speed cod,5161,9,361,Tidak Ada Merek,286,90000.0,90000.0,90000.0,125000.0,125000.0,28%,https://shopee.co.id/(Paket-komplit)-sepatu-futsal-spyder-terbaru.sepatu-specs.paket-sepatu-futsal.swervo-light-speed-cod-i.11152609.995115389
227593253,labastore354,KOTA SURAKARTA (SOLO),6366185725,Sepatu Futsal Orsegt Termurah Berkualitas EXTRA BOX,3526,10,883,Tidak Ada Merek,226,69950.0,69950.0,69950.0,0,0,,https://shopee.co.id/Sepatu-Futsal-Orsegt-Termurah-Berkualitas-EXTRA-BOX-i.227593253.6366185725
358177854,cvarifsport,KOTA SURAKARTA (SOLO),3387726042,Sepatu Bola Specs Lightspeed Etnis Fg Senopati Priangan Tirta Original,445,10,437,Specs,249,437400.0,437400.0,437400.0,549800.0,549800.0,20%,https://shopee.co.id/Sepatu-Bola-Specs-Lightspeed-Etnis-Fg-Senopati-Priangan-Tirta-Original-i.358177854.3387726042
389636894,pgssport.id,KOTA SURAKARTA (SOLO),13816275033,[TERLARIS] Paket Komplit 5 Sepatu Futsal Murah Berkwalitas Istimewa,238,10,304,,65,60700.0,60700.0,124990.0,0,0,,https://shopee.co.id/[TERLARIS]-Paket-Komplit-5-Sepatu-Futsal-Murah-Berkwalitas-Istimewa-i.389636894.13816275033
11152609,atarashiishop,KAB. BOYOLALI,8015275513,SEPATU FUTSAL LOTTO JUMBO SIZE BESAR 44 45 46 47 MURAH DAN BERKUALITAS BISA COD,3716,10,197,,62,87400.0,87400.0,87400.0,230000.0,230000.0,62%,https://shopee.co.id/SEPATU-FUTSAL-LOTTO-JUMBO-SIZE-BESAR-44-45-46-47-MURAH-DAN-BERKUALITAS-BISA-COD-i.11152609.8015275513
29425892,annasdanarseno_jockam.354,KAB. BOYOLALI,2403174633,Sepatu futsal anak specs dragon original ukuran 33-37,11968,10,176,Specs,84,61500.0,61500.0,102500.0,0,0,,https://shopee.co.id/Sepatu-futsal-anak-specs-dragon-original-ukuran-33-37-i.29425892.2403174633
