shopid,username_toko,lokasi_toko,itemid,produk,stok,terjual,histori_terjual,brand,jml_like,harga,harga_min,harga_max,harga_min_sebelum_disc,harga_max_sebelum_disc,diskon,url_produk
16545975,craft_loverz,KAB. TABANAN,2620009247,10pcs LITTLE ASHOKA RESIN Bahan Hias Tasbih Digital Bahan Handmade DIY,1,0,91,Tidak Ada Merek,8,6500.0,6500.0,6500.0,0,0,,https://shopee.co.id/10pcs-LITTLE-ASHOKA-RESIN-Bahan-Hias-Tasbih-Digital-Bahan-Handmade-DIY-i.16545975.2620009247
16545975,craft_loverz,KAB. TABANAN,7612212658,3pcs GREEN FLOWER MINI DECO Bahan Hias Tasbih Digital Aksesoris Tasbih Blink Handmade DIY,1,0,132,Tidak Ada Merek,12,15000.0,15000.0,15000.0,0,0,,https://shopee.co.id/3pcs-GREEN-FLOWER-MINI-DECO-Bahan-Hias-Tasbih-Digital-Aksesoris-Tasbih-Blink-Handmade-DIY-i.16545975.7612212658
16545975,craft_loverz,KAB. TABANAN,2814560264,10pcs METALIC GLITTERY STAR Bahan Hias Tasbih Digital Tasbih Blink Cincin Tasbih Handmade DIY,8,1,67,Tidak Ada Merek,16,12000.0,12000.0,12000.0,0,0,,https://shopee.co.id/10pcs-METALIC-GLITTERY-STAR-Bahan-Hias-Tasbih-Digital-Tasbih-Blink-Cincin-Tasbih-Handmade-DIY-i.16545975.2814560264
16545975,craft_loverz,KAB. TABANAN,7700023459,10pcs SHABBY CANDY RESIN Permen Resin Craft Bahan Hias Tasbih Digital Handmade DIY,2,1,66,Tidak Ada Merek,54,10500.0,10500.0,10500.0,0,0,,https://shopee.co.id/10pcs-SHABBY-CANDY-RESIN-Permen-Resin-Craft-Bahan-Hias-Tasbih-Digital-Handmade-DIY-i.16545975.7700023459
16545975,craft_loverz,KAB. TABANAN,1500928298,10pcs SHABBY BEAR RESIN Bahan Resin Hias Tasbih Blink Handmade,8,1,54,Tidak Ada Merek,42,10500.0,10500.0,10500.0,0,0,,https://shopee.co.id/10pcs-SHABBY-BEAR-RESIN-Bahan-Resin-Hias-Tasbih-Blink-Handmade-i.16545975.1500928298
29272013,akaofficialshop,KOTA DENPASAR,399960022,PAKET KADO SAJADAH ALQURAN TASBIH PREMIUM - GIFT BOX SET HAMPERS ULANG TAHUN - KADO PERNIKAHAN MURAH,1977,0,185,Tidak Ada Merek,369,69900.0,69900.0,89900.0,0,0,,https://shopee.co.id/PAKET-KADO-SAJADAH-ALQURAN-TASBIH-PREMIUM---GIFT-BOX-SET-HAMPERS-ULANG-TAHUN---KADO-PERNIKAHAN-MURAH-i.29272013.399960022
16545975,craft_loverz,KAB. TABANAN,4615777411,LITTLE WHITE VINCA RESIN Resin Craft Bahan Hias Tasbih Digital Handmade,2,2,104,Tidak Ada Merek,23,7000.0,7000.0,7000.0,0,0,,https://shopee.co.id/LITTLE-WHITE-VINCA-RESIN-Resin-Craft-Bahan-Hias-Tasbih-Digital-Handmade-i.16545975.4615777411
16545975,craft_loverz,,5664921188,PLATED MINI MARIPOSA Bahan Hias Tasbih Digital Aksesoris Tasbih Blink Handmade DIY,1,0,35,Tidak Ada Merek,3,13500.0,13500.0,13500.0,0,0,,https://shopee.co.id/PLATED-MINI-MARIPOSA-Bahan-Hias-Tasbih-Digital-Aksesoris-Tasbih-Blink-Handmade-DIY-i.16545975.5664921188
16545975,craft_loverz,KAB. TABANAN,2619778719,10pcs MINI CHRYSAN MOTIF RESIN Bahan Hias Tasbih Bahan Craft DIY,6,1,50,Tidak Ada Merek,12,7000.0,7000.0,7000.0,0,0,,https://shopee.co.id/10pcs-MINI-CHRYSAN-MOTIF-RESIN-Bahan-Hias-Tasbih-Bahan-Craft-DIY-i.16545975.2619778719
16545975,craft_loverz,KAB. TABANAN,292741097,3pcs MINI BUTTERFLY RHINESTONE Deco Bahan Hias Tasbih Blink Kupu Kupu DIY Handmade,10,1,70,Tidak Ada Merek,12,14500.0,14500.0,14500.0,0,0,,https://shopee.co.id/3pcs-MINI-BUTTERFLY-RHINESTONE-Deco-Bahan-Hias-Tasbih-Blink-Kupu-Kupu-DIY-Handmade-i.16545975.292741097
16545975,craft_loverz,,4061500183,KERTAS RUMPUT - Kertas Tisu Tasbih Digital Box Tuspin Box Handicraft Kemasan Box Kertas,5,0,75,Tidak Ada Merek,6,6500.0,6500.0,6500.0,0,0,,https://shopee.co.id/KERTAS-RUMPUT---Kertas-Tisu-Tasbih-Digital-Box-Tuspin-Box-Handicraft-Kemasan-Box-Kertas-i.16545975.4061500183
16545975,craft_loverz,KAB. TABANAN,7700023454,10pcs SHABBY DAISY RESIN Bunga Resin Craft Bahan Hias Tasbih Digital Handmade DIY,4,1,40,Tidak Ada Merek,16,7000.0,7000.0,7000.0,0,0,,https://shopee.co.id/10pcs-SHABBY-DAISY-RESIN-Bunga-Resin-Craft-Bahan-Hias-Tasbih-Digital-Handmade-DIY-i.16545975.7700023454
16545975,craft_loverz,KAB. TABANAN,7415777835,10pcs SHABBY HEPATICA RESIN Resin Bunga Craft Bahan Hias Tasbih Digital Handmade,2,1,33,Tidak Ada Merek,11,9500.0,9500.0,9500.0,0,0,,https://shopee.co.id/10pcs-SHABBY-HEPATICA-RESIN-Resin-Bunga-Craft-Bahan-Hias-Tasbih-Digital-Handmade-i.16545975.7415777835
16545975,craft_loverz,KAB. TABANAN,6600589885,10pcs ROUND LINE ACRYLIC 10mm Tombol Tasbih Blink Bahan Kerajinan Handicraft DIY,18,1,37,Tidak Ada Merek,5,5000.0,5000.0,5000.0,0,0,,https://shopee.co.id/10pcs-ROUND-LINE-ACRYLIC-10mm-Tombol-Tasbih-Blink-Bahan-Kerajinan-Handicraft-DIY-i.16545975.6600589885
16545975,craft_loverz,KAB. TABANAN,6542465042,10pcs PASTEL TWOTONE ROSE RESIN Mawar Resin Craft Bahan Hias Tasbih Digital Handmade,1,0,17,Tidak Ada Merek,7,8500.0,8500.0,8500.0,0,0,,https://shopee.co.id/10pcs-PASTEL-TWOTONE-ROSE-RESIN-Mawar-Resin-Craft-Bahan-Hias-Tasbih-Digital-Handmade-i.16545975.6542465042
29272013,akaofficialshop,KOTA DENPASAR,459132948,PAKET KADO WEDDING COUPLE 6 IN 1 PREMIUM - GIFT BOX SET HAMPERS PERNIKAHAN SAJADAH AL QURAN TASBIH,221,0,34,,51,99900.0,99900.0,129900.0,0,0,,https://shopee.co.id/PAKET-KADO-WEDDING-COUPLE-6-IN-1-PREMIUM---GIFT-BOX-SET-HAMPERS-PERNIKAHAN-SAJADAH-AL-QURAN-TASBIH-i.29272013.459132948
7802741,pasarbali,KAB. BADUNG,6036498558,Gelang Etnik Unisex Model Tasbih,11,1,82,Tidak Ada Merek,11,2475.0,2475.0,2475.0,2500.0,2500.0,1%,https://shopee.co.id/Gelang-Etnik-Unisex-Model-Tasbih-i.7802741.6036498558
258685161,kanochi,KOTA DENPASAR,10000183938,Tasbih Digital Mini Finger Counter Penghitung Digital Tally Jari Ngaji,72,0,29,Tidak Ada Merek,4,9900.0,9900.0,9900.0,0,0,,https://shopee.co.id/Tasbih-Digital-Mini-Finger-Counter-Penghitung-Digital-Tally-Jari-Ngaji-i.258685161.10000183938
29272013,akaofficialshop,KOTA DENPASAR,9164982853,SAJADAH TRAVELLING TURKI BESAR UK 110x65 CM FREE TASBIH KAYU - SOUVENIR TAHLILAN PERNIKAHAN MURAH,973,0,26,,5,10000.0,10000.0,35000.0,15000.0,40000.0,33%,https://shopee.co.id/SAJADAH-TRAVELLING-TURKI-BESAR-UK-110x65-CM-FREE-TASBIH-KAYU---SOUVENIR-TAHLILAN-PERNIKAHAN-MURAH-i.29272013.9164982853
